Country,Measurement,Score,,,,,,,,,,,,,,,,,,,,,,Country,Measurement,Score
Nicaragua,Trade Freedom,76,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Trade Freedom,65.8,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Trade Freedom,62.4,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Trade Freedom,83.2,,,,,,,,,,,,,,,,,,,,,,,,
Oman,Trade Freedom,87,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Trade Freedom,64.8,,,,,,,,,,,,,,,,,,,,,,,,
Panama,Trade Freedom,79.2,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Trade Freedom,80.9,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Trade Freedom,76.6,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Trade Freedom,86.4,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Trade Freedom,78.2,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Trade Freedom,83.2,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Trade Freedom,77.8,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Trade Freedom,70.4,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,Trade Freedom,73.2,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Trade Freedom,66.6,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,Trade Freedom,63.8,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,Trade Freedom,64.2,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Trade Freedom,76,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Trade Freedom,72,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Trade Freedom,77,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,Trade Freedom,81.4,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Trade Freedom,69.4,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Trade Freedom,94.8,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,Trade Freedom,56.8,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Trade Freedom,76,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Trade Freedom,76.2,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Trade Freedom,45,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,Trade Freedom,64.6,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Trade Freedom,87.6,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Trade Freedom,87.4,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan ,Trade Freedom,87,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Trade Freedom,73.6,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Trade Freedom,67.8,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Trade Freedom,83,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,Trade Freedom,75,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Trade Freedom,69.4,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Trade Freedom,73.6,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Trade Freedom,68.4,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Trade Freedom,71.4,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Trade Freedom,79.6,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,Trade Freedom,76,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Trade Freedom,75.4,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Trade Freedom,75,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Trade Freedom,84.4,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Trade Freedom,86,,,,,,,,,,,,,,,,,,,,,,,,
United States,Trade Freedom,86.6,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Trade Freedom,78.6,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Trade Freedom,62.6,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Trade Freedom,64.4,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Trade Freedom,60,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Trade Freedom,79.2,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,Trade Freedom,71.4,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Trade Freedom,72.6,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Trade Freedom,70,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,Trade Freedom,70.8,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,Trade Freedom,84,,,,,,,,,,,,,,,,,,,,,,,,
